 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Was ist die Pascha-Stellung?;Wenn zwei oder mehrere Leute Schuld haben, dass ein Gegenstand eines Dritten beschädigt wird, kann der Gläubiger (der Dritte) aussuchen, wer als Schuldner für den kompletten Schaden aufkommt, wenn alle die gleiche Schuld tragen. Also zum Beispiel A und B helfen C beim Umziehen. Dabei machen A und B das Porzellan von C kaputt. C kann nun aussuchen, ob A oder B, die beide gleiche Schuld haben, für den kompletten Schaden aufkommt. C befindet sich somit in der Pascha-Stellung, denn C kann wie ein Pascha (=jemand, der bestimmen darf) bestimmen, wer für den Schaden aufkommt. Festgelegt ist die Pascha-Stellung in § 421 BGB.;
Was ist die Pechblende?;Ein glänzendes, radioaktives Mineral.;
Was ist die Penetrationsstrategie?;Eine Marketingmethode bei Produktneueinführungen.;
Was ist die Pfullinger Unterhose?;Ein Aussichtsturm bei Pfullingen.;
Was ist die Pinocchio-Illusion?;Die Pinocchio-Illusion ist ein Test aus der Wahrnehmungspsychologie. Es handelt sich um folgende Sinnestäuschung: Person B sitzt hinter Person A. Person B, hinter A, langt A mit dem Finger an die Nase und bewegt ihn hin und her. Dabei steht eine Person C hinter B und fasst B an die Nase. Dann hat B, der A an die Nase langt, das Gefühl, dass er an seine Nase fasst (obwohl das C macht). Dabei meint B, er hätte eine meterlange Nase, wie Pinocchio. Das ist die Pinocchio-Illusion.;
Was ist die Puderzuckermethode?;Imker zuckern Bienen ein, um sie von Schädlichen zu befreien.;
Was ist die Pyramidenplatte?;Ein Teil in Kaffeekapselmaschinen.;
Was ist die Raucherstellung?;Die Raucherstellung gibt es bei Autos. Wenn die Fensterscheibe nur ein wenig heruntergefahren ist, ist das die Raucherstellung, da der Rauch beim Rauchen im Auto durch das Fenster entweichen kann. Bei manchen Automarken ist die Raucherstellung sogar einprogrammiert. Man drückt auf den Knopf und das Fenster fährt nur leichter herunter in die Raucherstellung.;
Was ist die Reibachleitung?;Bei der Lieferung von Heizöl durch einen Tanklaster wird beim Pumpen des Heizöls durch eine Rücklaufleitung ein Teil des Öls wieder in den Tank zurückgepumpt. Es wird also weniger geliefert als bezahlt. Diese Leitung nennt man Reibachleitung.;
Was ist die Robinsonliste?;Eine Liste, in die man sich einträgt, um keine Werbung mehr zu erhalten.;
Was ist die Ruheschwebe?;Begriff aus der Zahnmedizin: Abstand zwischen Ober- und Unterkiefer bei entspannter Muskulatur.;
Was ist die Säuferstellung?;Möglichkeit, eine Haus-Alarmanlage von innen zu aktivieren und von außen zu deaktivieren. Für besoffene Ehemänner, die spät nach hause kommen.;
Was ist die Schmetterlingsstellung;Segelstellung bei Rückenwind, sodass möglichst viel Wind in die Segel kommt.;
Was ist die Schnüffelstellung?;Die Schnüffelstellung ist eine Kopfstellung, die dafür sorgt, dass ein Narkosemittel ungehindert über die Nase einströmen kann. Man legt sich auf eine Nackenrolle, damit Rachen und Luftröhre eine Gerade bilden.;
Was ist die Schornsteinfegerstellung?;Bevor Schornsteinfeger eine Abgasmessung durchführen können, muss die Heizungsanlage im Vollbetrieb sein. Die Einstellung am Herd (dort ist ein kleiner Schornsteinfeger abgebildet) die dazu gewählt wird, heißt Schornsteinfegerstellung.;
Was ist die Schweizer Krankheit?;Fachausdruck für Heimweh. 1699 erstmals wissenschaftlich erforscht. Eidgenössische Schweizer Söldner, die sich in Frankreich verdingt haben, beklagten sich über undefinierbare Kreislauf- und Herzbeschwerden, die auf das gesamte Gemüt übergriffen, ausgelöst durch den Klang der Alphörner aus der Ferne. Die Schweizer nannten es daher Schweizer Krankheit.;
Was ist die Schwellenpädagogik?;Eine Unterrichtsstunde, die sich der Lehrer beim Betreten der Klasse überlegt.;
Was ist die so genanne „Daumenruhe“?;Es gibt Bierkrüge mit Deckel, deren Deckel man öffnet, in dem man mit dem Daumen auf den Knauf drückt. Lässt man den Daumen während dem Trinken auf diesem Hebel ruhen, ist dieser Knauf eine „Daumenruhe“.;
Was ist die so genannte „Alte-Hasen-Regelung“?;Bis 2007 konnte jeder der wollte in Deutschland eine Versicherung verkaufen. Seit 2007 geht das nicht mehr (man muss vorher eine Prüfung ablegen). Für Versicherungsvertreter die ihren Beruf nachweisbar schon vor dem Jahr 2000 ausübten wurde die Prüfungspflicht aufgehoben. Für sie gilt die „Alte Hasen Regelung“, weil sie bereits genug Berufserfahrung haben („Alte Hasen“ sind).;
Was ist die so genannte „Ballack-Klausel“?;Ein neuer Begriff aus dem Arbeitsrecht: Normalerweise gibt es für die Inhalte von Arbeitsverträgen gesetzliche Vorschriften, die eingehalten werden müssen. Von diesem Grundsatz gibt es aber folgende Ausnahme: wenn der Angestellte ein Topverdiener ist und seinem Arbeitgeber gehaltsmäßig auf Augenhöhe gegenübersteht, können auch vom Gesetz abweichende Verträge geschlossen werden. Z.B. ein Arbeitsvertrag ohne Kündigungsschutz- denn wer 170.000 Euro pro Woche verdient (wie Michael Ballack derzeit beim FC Chelsea) braucht keinen Kündigungsschutz. Diese Klausel im Arbeitsvertrag heißt Ballack-Klausel.;
Was ist die so genannte „Bequemlichkeitsregel“?;Eine der drei Regeln beim Treppenbau. Neben der Schrittmaßregel und der Sicherheitsregel garantiert die Einhaltung der Bequemlichkeitsregel einen bequemen Auf- und Abstieg beim Treppensteigen. (Die Formel lautet: a - s = 12);
Was ist die so genannte „Bierlinie“?;Beim Fallschirmspringen: Die Umrandungslinie des Landeplatzes. (Wenn man nicht innerhalb dieser Linie landet muss man eine Runde Bier ausgeben);
Was ist die so genannte „Blond-Phase“?;Die Blond-Phase ist beim Kaffeemachen die Phase, wenn der Kaffee fertig extrahiert ist und alle Säuren und Aromen in den Kaffee reingelaufen sind und danach nur noch die Bitterstoffe übrigbleiben. Dann wird der Strahl heller und diese helle Phase nennt man Blond-Phase.;
Was ist die so genannte „Boxerstellung“?;Ein Begriff aus der Röntgenmedizin. Der Patient steht dabei seitlich zum Röntgenapparat und nimmt folgende Position ein: „der eine Arm wird in Schulterhöhe nach Vorne gestreckt und der andere Arm befindet sich angewinkelt und leicht nach hinten gezogen etwas unterhalb des Schultergelenks“. Dadurch kann sich der Röntgenarzt den Übergang von der Hals- zur Brustwirbelsäule ansehen (da in diesem Bereich das Gewebe sehr stark ausgebildet ist, würde man bei einer Frontalaufnahme der Wirbelsäule nichts erkennen);
Was ist die so genannte „Bückzone“?;Der Bereich unter 80 cm in einem Supermarktregal. (Unter der Reck-, Sicht- und Griffzone);
Was ist die so genannte „Bundeskanzlermischung“?;„Bundeskanzlermischung“ ist der Name einer Reinigungsimprägnierung (für Parkettböden) eines österreichischen Herstellers. Der Hersteller durfte das Reinigungsmittel auf dem empfindlichen Parkett des österreichischen Bundeskanzleramts testen. Deswegen heißt dieses Reinigungsmittel für Parkettböden nun „Bundeskanzlermischung“.;
Was ist die so genannte „Dackelregel“?;Damit wurde früher in der Seefahrt die Genauigkeit des Kompasses überprüft. Wenn die Sonne so über dem Horizont stand, dass noch ein Dackel dazwischen passen würde, wurde die Sonne mit dem Kompass angepeilt und dann mit Hilfe von Tabellen die Genauigkeit des Kompasses überprüft.;
Was ist die so genannte „Dickenrücklage“?;Im Flugzeugbau: Die Entfernung von der vordersten Stelle des Flügels bis zur dicksten.;
Was ist die so genannte „Duldungsstarre“?;Eine Starre in die eine Sau verfällt, wenn sie ein bestimmtes Duftsekret riecht, das paarungsbereite Eber aussondern.;
Was ist die so genannte „Eisklasse“?;Eine Schiffsklasse die durch Eis fahren kann. (Normale Fracht- und Passagierschiffe- keine Eisbrecher!);
Was ist die so genannte „Feiertagskrankheit“?;Eine Muskelkrankheit bei Pferden. Wenn ein Pferd mehrere Tage nicht bewegt wurde und während dieser;
Was ist die so genannte „Fummelgebühr“?;Die „Fummelgebühr“ ist ein Begriff aus dem Luftverkehr. Sie ist im Preis für das Flugticket enthalten. Es handelt sich um die Kosten, die für die Sicherheitskontrolle der Passagiere anfallen. Diese Kosten beim Durchsuchen der Passagiere, also beim Befummeln, nennt man „Fummelgebühr“.;
Was ist die so genannte „Gartenzwergstellung“?;Im 10. Monat versuchen Babys in eine aufrechte Sitzposition zu kommen. Vorher liegen oder rollen sie nur herum. Wenn die Babys vom Liegen ins Sitzen kommen wollten, stützen sie sich mit einem Ellenbogen ab und haben dabei ein Bein unter dem anderen. Da es diese halbliegende Stellung auch bei Gartenzwergen gibt, nennt man dies die „Gartenzwergstellung“.;
Was ist die so genannte „Gorilla-Position“?;Der Regisseur bei einem Wrestlingkampf hat diese Position. “Gorilla Monsun“ war der Künstlername eines berühmten Profi-Wrestlers in den USA. Nach seiner aktiven Zeit wechselte er zum Management und sorgte dafür das Wrestling bekannter und besser vermarktet wurde. 15 Jahre lang hatte er die Position des Regisseurs inne, der bei Profi-Wrestlingkämpfen Backstage für das richtige Timing der Veranstaltung sorgte. Bis heute heißt diese Position des Regiseurs beim Wrestling „Gorilla-Position“, weil keiner vor ihm diesen Job so gut und so lang gemacht hatte.;
Was ist die so genannte „Großmutter-Hypothese“?;“Warum kommen Frauen in die Wechseljahre und bekommen danach keine Kinder mehr?“ Einige Forscher vertreten die Hypothese, dass das die Natur mit Absicht so eingerichtet hat. Es gibt nämlich Anzeichen dafür, dass junge Frauen mehr Kinder bekommen, wenn es eine Großmutter gibt, die sich dann ebenfalls um diese Kinder kümmern kann. So wurde der Fortbestand der Menschheit besser gesichert als wenn Frauen bis ins hohe Alter noch selbst Kinder bekommen könnten. Diese Theorie über den evolutionären Nutzen der Großmutter heißt „Großmutter-Hypothese“.;
Was ist die so genannte „Handtaschenschaltung“?;Wenn eine Frau alleine Auto fährt, sperrt sie das Auto automatisch auf, schmeißt ihre Handtasche auf den Beifahrersitz und steigt ein. Dann kommt ein Dieb, macht die Beifahrertür auf und klaut die Handtasche. Dagegen gibt es die Handtaschenschaltung. Bei der Handtaschenschaltung wird nur die Fahrertür aufgesperrt, so kann der Dieb die Handtasche nicht klauen, da er die Beifahrertür nicht öffnen kann.;
Was ist die so genannte „Happinesszone“?;Schlechte Augen können heutzutage mit Hilfe eines Lasers korrigiert werden. Im Idealfall hat der Patient nach dem Eingriff einen Dioptrienwert zwischen - 0,5 und + 0,5. Dieser Bereich wird als „Happinesszone“ bezeichnet, da der Patient dann happy ist, da er weder Kontaktlinsen noch eine Brille braucht.;
Was ist die so genannte „Hasenapotheke“?;Heilkräuter, die von Hasen gefressen werden, damit diese ihre Abwehrkräfte damit stärken (z.B. Klee);
Was ist die so genannte „Hausfrauenmischung“?;Das Mischungsverhältnis der Banknoten bei Auszahlungen.;
Was ist die so genannte „Hutmethode“?;Um Sterne am Nachthimmel auf ein Foto zu bekommen, braucht man eine besonders lange Belichtungszeit. Weil die manuelle und auch die automatische Betätigung des Auslösers bei der langen Belichtungszeit das Foto verwackeln könnte, geht der Fotograf folgendermaßen vor: Er hält einen Pappdeckel vor das Objektiv und betätigt den Auslöser. Die Aufnahme beginnt, wenn er die Pappe wegnimmt und endet, wenn er sie wieder vor das Objektiv schiebt. Das Foto verwackelt nicht, da der Auslöser zur Zeit der Aufnahme gar nicht berührt wird. Zuerst hatten die Fotografen bei dieser Methode anstatt Pappe ihren Hut genommen. Daher nennt man diese Methode „Hutmethode“.;
Was ist die so genannte „Kai-Methode“?;Eine Methode sich die Zähne zu putzen: Zuerst die Kauflächen, dann die Außenflächen und dann die Innenflächen.;
Was ist die so genannte „Kaiserfaltung“?;Eine Serviettenfaltart (in Österreich). So wurden früher Servietten nur gefaltet, wenn der Kaiser persönlich am Tisch saß. In den zwei gefalteten Löchern links und rechts wurde eine Kaisersemmel und ein Salzstangerl gesteckt. Heute werden die Servietten in der Wiener Hofburg immer noch so gefaltet, wenn hoher Staatsbesuch zu Gast ist. (Das Geheimnis dieser Faltung wird übrigens seit rund 200 Jahren mündlich überliefert und momentan kennen sie nur zwei Personen);
Was ist die so genannte „Kalibertreue“?;Damit Metzger Wurst machen können, die immer gleich dick ist, bestellen sie Naturdarm mit Kalibertreue, also der seinen Durchmesser immer beibehält.;
Was ist die so genannte „Keuschheitsprobe“?;Wenn ein verdeckter Ermittler eine kriminelle Straftat begehen muss, um nicht aufzufallen.;
Was ist die so genannte „Krüger-Klappe“?;Die Kappen bei Flugzeugtragflächen heißen nach dem Flugzeugtechniker Werner Krüger Krüger-Klappen. (Sie werden beim Start aufgeklappt um zusätzlichen Auftrieb zu bekommen);
Was ist die so genannte „Labyrinthprüfung“?;Das Labyrinth ist das menschliche Gleichgewichtsorgan im Innenohr. Bei der Labyrinthprüfung wird mit einer Wasserspülung überprüft, ob eine Erkrankung des Gleichgewichtsorgans vorliegt.;
Was ist die so genannte „Loslassgrenze“;Elektrotechnik: Liegt die Stromstärke über 15 mA (Milliampere), kann man nach der Berührung nicht mehr loslassen, obwohl man den Schmerz wahrnimmt. Die Nervenbahnen sind gelähmt und können die Muskeln nicht zum Loslassen veranlassen.;
Was ist die so genannte „müde Fliege“?;Wenn ein Segler signalisieren möchte, dass er Hilfe braucht, macht er die „müde Fliege“ (langsame Fliegbewegungen mit den Armen);
Was ist die so genannte „Operation Bernhard“?;Der SS-Führer Bernhard (Krüger?) plante und leitete von 1942 bis 1945 diese „Operation“, die die englische Wirtschaft schwächen sollte, indem massenhaft englische Pfundnoten gedruckt und im Ausland gegen Devisen eingetauscht werden sollten.;
Was ist die so genannte „Othellomasse“?;Ein Mohrenkopf ist außen Schoko und hat innen eine Puddingfüllung, die aus Eigelb, Zucker, Stärke und viel Eisschnee vermengt wird. Diese Biscuitmasse wird mit Schokoglasur verziert und das ist die „Othellomasse“. „Othellomasse“, da Othello in William Shakespeares Theaterstück ein Mohr ist, also dunkelhäutig. Und da die Schokoglasur auch dunkel ist, nennt man sie „Othellomasse“.;
Was ist die so genannte „Pfahlstellung“?;In dieser Stellung tarnt sich die Rohrdommel (gehört zur Familie der Reiher) im Schilf. Sie stellt sich gerade wie ein Pfahl mit dem Schnabel nach oben hin und ist dann von den Schilfrohren nicht mehr zu unterscheiden.;
Was ist die so genannte „Playbackstellung“?;Tischtennis: Wenn man alleine spielt und dazu eine Tischhälfte hochklappt. Playback = Rückspiel. Der Ball kommt immer wieder von selbst zurück.;
Was ist die so genannte „Playboygrenze“?;Ein offizieller Begriff aus dem österreichischen Unterhaltsrecht. Die Playboygrenze ist die gesetzlich geregelte Obergrenze für Unterhaltszahlungen. (Im übrigen ist der Unterhalt - wie auch in Deutschland - abhängig vom Einkommen. Männer, die mit mehreren Frauen Kinder zeugten (und für diese Unterhalt zahlen mussten), galten als Playboys -> Playboygrenze.;
Was ist die so genannte „Puderbarriere“?;Bei professionellem Auftragen von Lidschatten: Bevor die Farbe aufs Augenlid kommt wird ein transparenter Gesichtspuder, unter dem Auge das geschminkt werden soll, aufgetragen. Beim Auftragen des Lidschattens fallen nämlich immer kleine Farbpartikel runter. Diese Farbpartikel werden dann von diesem transparenten Puder aufgenommen. Ist das Auge fertig geschminkt wird dieser transparente Puder (und damit auch die Farbpartikel) mit einem Wattepad entfernt. Das ist eine Puderbarriere.;
Was ist die so genannte „Retro-Stellung“?;Begriff aus der Fotografie: Lat: retro = rückwärts, zurück. Normalerweise erscheinen durch ein Objektiv kleine Dinge groß. Wenn man ein Objektiv mit einem Adapter umgekehrt an der Kamera befestigt, sieht man rückwärts durch das Objektiv und dadurch erscheinen große Dinge nun klein – Retrostellung.;
